iter	Passed	Remaining
1065	124352	50627
1066	124429	50494
1067	124506	50362
1068	125039	50413
1069	125879	50586
1070	126105	50512
1071	126197	50384
1072	126289	50256
1073	126362	50121
1074	126446	49990
1075	126527	49858
1076	126608	49726
1077	126682	49591
1078	126766	49461
1079	126835	49324
1080	126910	49190
1081	126968	49050
1082	127037	48914
1083	127106	48778
1084	127169	48640
1085	127236	48504
1086	127308	48370
1087	127390	48239
1088	127467	48107
1089	127544	47975
1090	127616	47841
1091	127786	47744
1092	127875	47617
1093	127965	47489
1094	128039	47356
1095	128106	47221
1096	128183	47090
1097	128260	46958
1098	128340	46828
1099	128446	46707
1100	128549	46586
1101	128666	46469
1102	128756	46342
1103	128828	46210
1104	128910	46081
1105	128978	45946
1106	129075	45823
1107	129900	45957
1108	130640	46059
1109	130734	45933
1110	130813	45802
1111	130890	45670
1112	130945	45530
1113	131019	45398
1114	131091	45264
1115	131158	45129
1116	131233	44997
1117	131302	44863
1118	131384	44734
1119	131447	44598
1120	131524	44467
1121	131614	44340
1122	131693	44210
1123	131765	44078
1124	131849	43949
1125	131907	43813
1126	131986	43683
1127	132056	43550
1128	132737	43618
1129	133605	43746
1130	133681	43614
1131	133758	43483
1132	133828	43349
1133	133901	43216
1134	133987	43088
1135	134063	42956
1136	134130	42822
1137	134207	42691
1138	134282	42560
1139	134360	42429
1140	134433	42297
1141	134509	42166
1142	134576	42033
1143	134647	41900
1144	134715	41767
1145	134783	41634
1146	134858	41503
1147	134934	41373
1148	134993	41238
1149	135071	41108
1150	135153	40980
1151	135238	40853
1152	135302	40719
1153	135368	40587
1154	135450	40459
1155	135546	40335
1156	135747	40243
1157	135836	40117
1158	135924	39991
1159	135990	39859
1160	136067	39730
1161	136134	39598
1162	136214	39470
1163	136289	39341
1164	136368	39213
1165	136439	39083
1166	136522	38956
1167	137097	38969
1168	137828	39025
1169	138162	38968
1170	138244	38840
1171	138320	38710
1172	138410	38585
1173	138486	38455
1174	138571	38328
1175	138639	38196
1176	138716	38067
1177	138794	37938
